Entität,Attribute name (EN),Attribute description (EN),Sample Data,Datenformat,Optional für Level 2,Query Parameter,Status Level 2 & 3,Comment
transactions,statement_id,Unique identifier for the billing statement document,eb404f8d-656b-4e51-8872-88c42fa55536,String(50),x,x,neu,
card-accounts,cardAccountId,"Technical reference to a card account, used as identifier to retrieve card account details via API endpoint",,String(50),,,neu,
card-accounts,cardAccountReference,"Functional reference to the card account for display purposes, visible to the customer",,String(50),,,neu,
card-accounts,personId,"Technical reference to a person (cardholder who owns the account), used as unique identifier for API calls to retrieve person details",,String(50),,x,neu,
card-accounts,personReference,Functional reference to a person (cardholder who owns the account) for display purposes,,String(50),,x,neu,
card-accounts,cardAccountBundleId,"Technical reference to group multiple card accounts together (optional, for bundled products)",,String(50),x,x,neu,"- muss in Diagramm für Level 3 auch optional gemacht werden
- zu diskutieren ob reference auch notwendig ist --> aufnehmen weil es eine Kundenbekannte Referenz gibt"
card-accounts,cardAccountBundleReference,Functional reference for a card account bundle for display purposes,,String(50),x,x,neu,
card-accounts,cardAccountContractId,Technical reference to the contract associated with this card account,,String(50),x,x,neu,"- sollte es auch schon in Level 2 verpflichtend sein?
- zu diskutieren ob reference auch notwendig ist  --> aufnehmen weil es eine Kundenbekannte Referenz gibt"
card-accounts,cardAccountContractReference,Functional reference to the contract for display purposes,,String(50),x,x,neu,
card-accounts,issuerCode,Identifier for the legal issuer of cards in this account; organization responsible towards card schemes for rule compliance,,String(50),,,neu,
card-accounts,issuerName,Name of the legal issuer organization,,String(100),,,neu,
card-accounts,distributionPartnerCode,Identifier for the organization distributing/selling cards to end customers; empty if distributed directly by issuer,,String(50),x,,neu,
card-accounts,distributionPartnerName,Name of the distribution partner organization; empty if distributed directly by issuer,,String(100),x,,neu,
card-accounts,cardList,List of card identifiers (cardId) associated with this card account,,Array[String(50)],,,neu,"- Liste an cardId ausreichend, ohne weitere Attribute? --> ja, ausreichend, Details müssen über cards Attribut abgefragt werden
- Diskussion über Mulit-Währungskarte: wäre erforderlich auch auf cards Entität mehrere Konten zu referenzieren, soll aber bis auf Weiteres nicht unterstützt werden"
card-accounts,cardAccountCurrency,Settlement currency of the card account in which transactions are billed,,Currency.yaml,,,neu,
card-accounts,iban,"International Bank Account Number linked to the card account; mainly relevant for debit cards, optional for credit/prepaid",IBAN,String(34),x,x,neu,
card-accounts,billingCycleRhythm,"Frequency of billing cycles for statement generation (e.g., monthly, quarterly).","monthly, debit",Enum,,,neu,"- Nur Rhythmus angeben oder auch konkreten Tag? --> tendenziell beides
- Welcher Wert wird für Prepaid und Debit verwendet? Ggf. Attribut optional machen --> spezieller Wert für Debit
- UCC: nur monthly verfügbar
- Abzustimmen ob es notwendig ist oder eh immer ""monthly"" angewendet wird in der Praxis --> notwendig"
card-accounts,billingCycleDay,"Day of the month when the billing cycle usually closes and the statement is generated.
Not used by all issuers.",,Integer(1-31),x,,neu,- Für Debit und Prepaid 0 eingeführt
card-accounts,accountStatus,"Current operational status of the card account (active, suspended, blocked)","active, suspended, blocked",Enum,,x (in combination with other attributes),neu,"- Einfaches Statuskonzept wie für Card auf Level 1? --> evtl. vereinfachen zu nur ""active"" und ""blocked"" --> bei UCC ist suspended möglich und deshalb hier aufnehmen
- Viseca: verifizieren ob suspended Status auch auf Konto möglich ist"
card-accounts,loyaltyProgramCode,Identifier for the loyalty program associated with this account (if applicable),,String(50),x,,neu,"- Abbildung von Debit zu diskutieren --> kein Problem, optionales Feld, kann weggelassen werden"
card-accounts,loyaltyProgramName,Name of the loyalty program,,String(100),x,,neu,
card-accounts,loyaltyProgramParticipationReference,Reference identifier for the customer's participation in the loyalty program,,String(50),x,,neu,
card-accounts,loyaltyProgramEnrolmentDate,Date when the customer enrolled in the loyalty program,,Datum,x,,neu,
card-accounts,loyaltyProgramCancellationDate,Date when the loyalty program participation was cancelled (if applicable),,Datum,x,,neu,
card-accounts,paymentType,"Method used for settlement of the open balance.
direct_debit: used for lsv, debit_direct and other automatic debiting
ipi used for international payments and if account is in non-CHF currency
debit: used for debit cards","direct_debit, qr, ipi, debit",Enum,,,neu,"- Wert für Debit und Prepaid zu definieren oder Attribut optional machen --> debit als explizierter Wert
- direct_debit: lsv, debit_direct, u.a.
- Viseca: POS noch in Anwendung? --> nein"
card-accounts,paymentOption,"Payment modality selected by the customer (e.g., full payment, instalment, revolving).
full is used also for debit cards and prepaid cards","full, instalment, revolving",Enum,,,neu,- Wert für Debit und Prepaid zu definieren oder Attribut optional machen --> full wird verwendet
card-accounts,statementDeliveryType,"Format and delivery method for account statements (e.g., paper, paperless, ebill)
paperless is used for electronic delivery outside ebill","paper, paperless, ebill, twint, debit",Enum,,,neu,- Wert für Debit und Prepaid zu definieren oder Attribut optional machen --> debit als explizierter Wert
card-accounts,nextStatementDate,"Date when the next billing statement will be generated and issued.
Not used by all issuers.",2018-04-13,Datum,x,,neu,- Wert für Debit und Prepaid zu definieren oder Attribut optional machen
card-accounts,accountProductName,Commercial name of the card account product assigned by the issuer,,String(100),,,neu,"- verschieben auf card-accounts
- Soll Kartenprodukt auf Kontoebene beschreiben, Beispielwert Viseca ""MC/VI Gold CHF""
- prüfen welche Produktinformationen auf Kontoebene sinnvoll sind"
card-accounts,productType,"Type of card account product (credit, debit, prepaid)","credit, debit, prepaid",Enum,,x (restricted by consent),neu,"- debiX API: nur Debitkarten (implizit)
- Fachlich auf Kontoebene, aber wegen Bedarf von API Nutzern auch auf Entität Card
- Nur scheme-basierte Karten unterstützt
- Prüfen welche Produktinformationen auf Kontoebene sinnvoll sind"
card-accounts,productLine,Customer segment to which the card is offered,"""consumer"", ""business"", ""corporate""",Enum,,,neu,"- bei debiX API in dem Parameter auf Zeile 15 abgedeckt
- Fachlich auf Kontoebene, aber wegen Bedarf von API Nutzern auch auf Entität Card
- prüfen welche Produktinformationen auf Kontoebene sinnvoll sind"
card-accounts,balanceAmount,"Sum of any booked transactions, for debit cards the sum of the current calendar month","""1952.50""",Decimal,,,neu,
card-accounts,pendingAmount,"Sum of pending transactions, for debit cards the sum of the current calendar month","""1952.50""",Decimal,,,neu,
card-accounts,openBillAmount,Sum of open bill amount from previous cycle (only for credit cards),"""1952.50""",Decimal,x,x (from / to),neu,
card-accounts,externalReference,Identifier for the cardAccount that is defined by an external system,,String(50),x,x,neu,Zu besprechen ob es auf Kartenentität aufgenommen wird evtl. mit zusätzlichem Attribut für Cost Center Referenz
person,personId,"Technical reference to a person/cardholder, used as unique identifier for API calls to retrieve person details",UUID,String(50),,,neu,
person,personReference,Functional reference to a person/cardholder for display purposes,,String(50),,,neu,
person,language,Preferred language of the cardholder for all communication (ISO 639-1 two-letter code),,ISO Code 639-1 (2-stellig),,,neu,
person,personType,"Type of person entity (individual/private, company/business)","naturalPerson, legalPerson",Enum,,,neu,
person,name,Last name of the person (for individuals) or company name (for business entities),,String(100),,,neu,
person,externalReference,Identifier for the person that is defined by an external system,,String(50),x,,neu,Zu besprechen ob es auf Kartenentität aufgenommen wird evtl. mit zusätzlichem Attribut für Cost Center Referenz
person,firstName,"First name of the person, only used for individuals.",,String(100),x,,neu,
person,cardsList,List of card identifiers (cardId) owned by this person and accessible with the provided consent.,,Array[String(50)],x,,neu,
person,cardAccountsList,List of card account identifiers associated with this person and accessible with the provided consent.,,Array[String(50)],x,,neu,
person,cardContractsList,List of contract identifiers associated with this person and accessible with the provided consent.,,Array[String(50)],x,,neu,
statements,statementId,Unique identifier for the billing statement document,,String(50),,x,neu,
statements,statementDate,Date when the statement was generated and issued to the customer,,Datum,,x,neu,
statements,cardAccountId,Reference to the card account for which this statement was created,,String(50),,x,neu,
statements,cardAccountReference,"Functional reference to the card account for display purposes, visible to the customer",,String(50),,x,neu,
statements,openingBalance,Account balance at the beginning of the statement period,,Decimal,,,neu,
statements,closingBalance,Account balance at the end of the statement period; represents the amount due,,Decimal,,,neu,
statements,interest_amount,Interest amount due on the previous statement; positive values: Soll Zinsen; negative values: Haben Zinsen,,,,,neu,
statements,minimum_amount,For prepaid and debit 0 will be provided,,,,,neu,
statements,dueDate,Optional for prepaid cards,,Datum,x,,neu,
statements,currency,Currency in which the statement amounts are provided,,ISO Code alpha-numerisch 3-stellig,,,neu,
statements,statementPeriodStart,First calendar day for which transactions are included in the statement,,Datum,,,neu,
statements,statementPeriodEnd,Last calendar day for which transactions are included in the statement,,Datum,,,neu,
statements,paymentType,"Method used for settlement of the open balance.
direct_debit: used for lsv, debit_direct and other automatic debiting
ipi used for international payments and if account is in non-CHF currency
debit: used for debit cards","direct_debit, qr, ipi, debit",Enum,,,neu,"- Abruf Informationen für Bezahlung der Rechnung als separater Endpunkt: GET v1/statements/{statement_id}/paymentinstructions
- endpoint will return 404 for debit cards or other cases when no payment is necessary, API consumer can derive this from the account payment_type"
statements,paymentOption,"Payment modality selected by the customer (e.g., full payment, instalment, revolving).
full is used also for debit cards and prepaid cards","full, instalment, revolving",Enum,,,neu,
statements/paymentinstructions,qr_code,"Contents for the Swiss QR code standard of the payment instructions, can be rendered into a QR code representation",,String(7100),x,,neu,
statements/paymentinstructions,recipient_iban,International Bank Account Number on which the amount due on the statement has to be paid. Only relevant for credit and prepaid cards.,,String(34),,,neu,
statements/paymentinstructions,payment_reference,Reference data that has to be used for the payment of the statement,RF,String(50),,,neu,
statements/paymentinstructions,recipient_name,"Name of the bank (client) that is receiving the money for the statement, usually the issuer",,String(140),,,neu,Data format aligned to ISO20022
statements/paymentinstructions,recipient_address/street_name,Name of the street where the recipient has the official business location,,String(70),,,neu,
statements/paymentinstructions,recipient_address/building_number,Building number where the recipient has the official business location.,,String(35),,,neu,
statements/paymentinstructions,recipient_address/town_name,Name of the city / town where the recipient has the official business location.,,String(70),,,neu,
statements/paymentinstructions,recipient_address/postal_code,Postal code for the town where the recipient has the official business location.,,String(35),,,neu,
statements/paymentinstructions,recipient_address/country,Country where the recipient has the official business location.,,ISO Code alpha-numerisch 2-stellig,,,neu,
statements/paymentinstructions,bic,Bank identifier code for the institution that manages the bank account on which the statement is paid.,BEROCHZHXXX,String(11),,,neu,
statements/document,document,Statement document in a Base64 encoded audit-proof pdf format.,,Base64,,,neu,"- Abruf PDF als separater Endpunkt: GET v1/statements/{statement_id}/document
- Anforderung an PDF, dass es revisionssicher ist: signiert, PDF/A
- Base64 encoded Dokument"
card-contracts,cardContractReference,Functional reference to the contract for display purposes,,String(50),,,neu,
card-contracts,cardContractId,"Unique identifier for the contract, defined by the Card Service Provider",,String(50),,,neu,
card-contracts,cardAccountsList,List of card accounts associated with this contract.,,Array[String(50)],,,neu,
card-contracts,cardAccountBundlesList,List of card account bundles associated with this contract.,,Array[String(50)],x,,neu,
card-contracts,personId,"Technical reference to a person/cardholder, used as unique identifier for API calls to retrieve person details",,String(50),,,neu,
card-contracts,personReference,Functional reference to a person/cardholder for display purposes,,String(50),,,neu,
card-contracts,externalReference,Identifier for the card contract that is defined by an external system,,String(50),x,,neu,
card-contracts,contractLimit,Overall limit that all accounts and cards under the contract can spend. Value 0 for debit and prepaid cards means that there is no global limit in place.,2000,Decimal,,,neu,
card-contracts,description,"Description for the card-contract so that an end-user can understand the scope of the contract, is filled with issuer-specific information","""Rahmenvertrag USD Karten""",String(100),x,,neu,
card-contracts,issuer_code,Identifier for the legal issuer of a card; responsible towards the schemes for keeping the rules,123456789,String(50),,,neu,"Bei SIX zu klären ob es immer gleich dem Vertriebspartner ist --> wahrscheinlich das gleiche, aber zu prüfen --> derzeit immer gleich, Vertriebspartner soll optional sein, wenn er gleich dem Herausgeber ist
- Viseca: Beschreibung für Unterschied Vertriebspartner - Herausgeber liefern"
card-contracts,issuer_name,Name of the legal issuer of a card,"""Viseca Card Services"", ""UBS"", ""Zürcher Kantonalbank""",String(100),,,neu,"- SIX: Maximale Länge zu klären --> frei definierbar
- Viseca: Maximale Länge zu klären --> in Datenbank sind 200 Zeichen erlaubt, in Verwendung sind 52 bzw. 35 Zeichen"
card-contracts,distribution_partner_code,Identifier for the organization which is distributing / selling cards to end customers and who can define the services and branding of the card; empty if the card is distributed by the issuer,123456789,String(50),x,,neu,
card-contracts,distribution_partner_name,Name of the organization which is distributing / issuing cards to end customers and who can define the services and branding of the card; empty if the card is distributed by the issuer,"""Zürcher Kantonalbank""",String(100),x,,neu,"- SIX: Maximale Länge zu klären
- Viseca: Maximale Länge zu klären --> in Datenbank sind 200 Zeichen erlaubt, in Verwendung sind 52 bzw. 35 Zeichen
- Viseca: zu klären wie Raiffeisen abgebildet ist: 1 vs. X Vertriebspartner oder Issuer? --> ist mit einem Vertriebspartner und Issuer abgebildet (immer Raiffeisen Schweiz), aber auf Kartenebene wäre Unterscheidung mit einer Id möglich (ohne Name der Bank)"
card-accountbundles,cardAccountBundleId,"Technical reference to group multiple card accounts together (optional, for bundled products)",,String(50),,,neu,
card-accountbundles,cardAccountBundleReference,Functional reference for a card account bundle for display purposes,,String(50),,,neu,
card-accountbundles,cardContractReference,Functional reference to the contract for display purposes,,String(50),,,neu,
card-accountbundles,cardContractId,Technical reference to the contract associated with this card account bundle.,,String(50),,,neu,
card-accountbundles,cardAccountsList,List of card account identifiers associated with this person,,Array[String(50)],x,,neu,
card-accountbundles,cardAccountBundlesList,List of card account bundles that are part of the current bundle.,,Array[String(50)],x,,neu,
card-accountbundles,cardAccountBundleParent,The card account bundle under which the current bundle is associated.,,String(50),x,,neu,
card-accountbundles,externalReference,Identifier for the card accountbundle that is defined by an external system,,String(50),x,,neu,
card-accountbundles,description,"Description for the card-contract so that an end-user can understand the scope of the contract, is filled with issuer-specific information","""Abteilung Recherche""",String(100),x,,neu,
